Data di inizio;Data di fine;Tipo risposta;Avanzamento;Durata (in secondi);Terminato;Data registrata;ID di risposta;Canale di distribuzione;Lingua dell'utente;"Intolerance of Uncertainty Scale - Short form

 

Please select the number that best corresponds to how much you agree with each item. - Unforeseen events upset me greatly.";"Intolerance of Uncertainty Scale - Short form

 

Please select the number that best corresponds to how much you agree with each item. - It frustrates me not having all the information I need.";"Intolerance of Uncertainty Scale - Short form

 

Please select the number that best corresponds to how much you agree with each item. - Uncertainty keeps me from living a full life.";"Intolerance of Uncertainty Scale - Short form

 

Please select the number that best corresponds to how much you agree with each item. - One should always look ahead so as to avoid surprises.";"Intolerance of Uncertainty Scale - Short form

 

Please select the number that best corresponds to how much you agree with each item. - A small unforeseen event can spoil everything, even with the best of planning.";"Intolerance of Uncertainty Scale - Short form

 

Please select the number that best corresponds to how much you agree with each item. - When itü??s time to act, uncertainty paralyses me.";"Intolerance of Uncertainty Scale - Short form

 

Please select the number that best corresponds to how much you agree with each item. - Please, answer ""entirely characteristic of me"" to this item.";"Intolerance of Uncertainty Scale - Short form

 

Please select the number that best corresponds to how much you agree with each item. - When I am uncertain I canü??t function very well.";"Intolerance of Uncertainty Scale - Short form

 

Please select the number that best corresponds to how much you agree with each item. - I always want to know what the future has in store for me.";"Intolerance of Uncertainty Scale - Short form

 

Please select the number that best corresponds to how much you agree with each item. - I canü??t stand being taken by surprise.";"Intolerance of Uncertainty Scale - Short form

 

Please select the number that best corresponds to how much you agree with each item. - The smallest doubt can stop me from acting.";"Intolerance of Uncertainty Scale - Short form

 

Please select the number that best corresponds to how much you agree with each item. - I should be able to organize everything in advance.";"Intolerance of Uncertainty Scale - Short form

 

Please select the number that best corresponds to how much you agree with each item. - I must get away from all uncertain situations.";Please, type your age.;Please, select your gender.;Have you experienced any issues with the internet conncetion and/or the uploading of the pictures/sounds?;You have now successfully completed the survey, and you will be redirected to Prolific to complete your submission.If you have any comments please let us know by filling the box below.Thank you for your valuable contribution!;Total score;Prospective subscale;Inhibitory subscale;AttentionCheck;workerId;batchId;studyId;subject_nr;PROLIFIC_PID;SESSION_ID;STUDY_ID
20/07/2021 05:08;20/07/2021 05:09;Indirizzo IP;100;112;VERO;20/07/2021 05:09;R_1FsSuYWvDlvkEby;anonymous;EN;Somewhat characteristic of me;Very characteristic of me;Entirely characteristic of me;A little characteristic of me;Very characteristic of me;Not at all characteristic of me;Entirely characteristic of me;A little characteristic of me;A little characteristic of me;A little characteristic of me;A little characteristic of me;Very characteristic of me;A little characteristic of me;52;Male;No, everything worked fine!;;33;21;12;1;14670;507;496;23986;5f16dd98d5816400089a1cb5;60f6a6da90972a45796c8bc0;60f57e67967f64a9e6d4f193
19/07/2021 09:16;19/07/2021 09:18;Indirizzo IP;100;125;VERO;19/07/2021 09:18;R_QbJK14UdBKO2G77;anonymous;EN;Somewhat characteristic of me;A little characteristic of me;A little characteristic of me;A little characteristic of me;Somewhat characteristic of me;A little characteristic of me;Somewhat characteristic of me;Very characteristic of me;Very characteristic of me;Somewhat characteristic of me;Very characteristic of me;Very characteristic of me;A little characteristic of me;23;Male;No, everything worked fine!;"
I do not have any";NA;NA;NA;0;14471;496;485;23770;5f1b12b1312e282b013218b2;60f590237ce22ac4ad01d978;60e45f9daf7eec3fac4de4e2
20/07/2021 05:00;20/07/2021 05:01;Indirizzo IP;100;70;VERO;20/07/2021 05:01;R_2QytfBYEpzvpy52;anonymous;EN;Very characteristic of me;Very characteristic of me;Very characteristic of me;Entirely characteristic of me;Very characteristic of me;Somewhat characteristic of me;Entirely characteristic of me;A little characteristic of me;Very characteristic of me;A little characteristic of me;Somewhat characteristic of me;Very characteristic of me;Somewhat characteristic of me;45;Male;No, everything worked fine!;;42;27;15;1;14691;507;496;24007;5f1f52f09c3159141e330cbe;60f6a6c7baddcf7b2772bd58;60f57e67967f64a9e6d4f193
19/07/2021 11:27;19/07/2021 11:29;Indirizzo IP;100;82;VERO;19/07/2021 11:29;R_tFjyxUftrLVTE6B;anonymous;EN;Somewhat characteristic of me;Entirely characteristic of me;A little characteristic of me;Not at all characteristic of me;Entirely characteristic of me;Not at all characteristic of me;Entirely characteristic of me;Not at all characteristic of me;Not at all characteristic of me;Somewhat characteristic of me;Not at all characteristic of me;Entirely characteristic of me;Not at all characteristic of me;18;Female;No, everything worked fine!;;29;23;6;1;14491;496;485;23811;5f1fa3ea0a82d11cc6c47b65;60f5ae54e26e098332714e6a;60e45f9daf7eec3fac4de4e2
20/07/2021 04:20;20/07/2021 04:21;Indirizzo IP;100;81;VERO;20/07/2021 04:21;R_Dug2EihZmwG02Ep;anonymous;EN;Very characteristic of me;Very characteristic of me;Somewhat characteristic of me;Very characteristic of me;Very characteristic of me;Very characteristic of me;Entirely characteristic of me;A little characteristic of me;Very characteristic of me;Somewhat characteristic of me;Somewhat characteristic of me;Very characteristic of me;Very characteristic of me;34;Male;No, everything worked fine!;;43;27;16;1;14609;507;496;23926;5f243becb7bc1f00080bc2a9;60f69d8916dc185fac53085f;60f57e67967f64a9e6d4f193
20/07/2021 05:12;20/07/2021 05:14;Indirizzo IP;100;104;VERO;20/07/2021 05:14;R_2CKbHNqMzWQyiHY;anonymous;EN;Somewhat characteristic of me;Very characteristic of me;Not at all characteristic of me;Very characteristic of me;A little characteristic of me;Somewhat characteristic of me;Entirely characteristic of me;Somewhat characteristic of me;A little characteristic of me;Not at all characteristic of me;Somewhat characteristic of me;Very characteristic of me;Somewhat characteristic of me;24;Female;No, everything worked fine!;;33;20;13;1;14754;507;496;24062;5f28a0b984cfc61f36d4d957;60f6a6da75f9b3e129f4e244;60f57e67967f64a9e6d4f193
19/07/2021 08:53;19/07/2021 08:57;Indirizzo IP;100;276;VERO;19/07/2021 08:57;R_28IgCUfvWvOKXD5;anonymous;EN;A little characteristic of me;Very characteristic of me;Not at all characteristic of me;A little characteristic of me;Not at all characteristic of me;Not at all characteristic of me;Entirely characteristic of me;Somewhat characteristic of me;Somewhat characteristic of me;A little characteristic of me;A little characteristic of me;A little characteristic of me;Not at all characteristic of me;39;Female;No, everything worked fine!;no comments, thank You;24;16;8;1;14458;496;485;23759;5f28fe5de9735523a46857d1;60f589e87955b3072f858bf5;60e45f9daf7eec3fac4de4e2
20/07/2021 04:03;20/07/2021 04:04;Indirizzo IP;100;86;VERO;20/07/2021 04:04;R_1dM4uzDdIKFm6dj;anonymous;EN;A little characteristic of me;A little characteristic of me;Not at all characteristic of me;Somewhat characteristic of me;A little characteristic of me;Not at all characteristic of me;Entirely characteristic of me;Somewhat characteristic of me;Very characteristic of me;A little characteristic of me;A little characteristic of me;Somewhat characteristic of me;Somewhat characteristic of me;27;Female;No, everything worked fine!;;28;18;10;1;14550;507;496;23867;5f32c3e05ea32f045de06491;60f69954858fe978e493a99c;60f57e67967f64a9e6d4f193
20/07/2021 03:38;20/07/2021 03:39;Indirizzo IP;100;60;VERO;20/07/2021 03:39;R_2WByV4V0XyY0kOs;anonymous;EN;Very characteristic of me;Entirely characteristic of me;Entirely characteristic of me;Very characteristic of me;Very characteristic of me;Somewhat characteristic of me;Entirely characteristic of me;Very characteristic of me;Entirely characteristic of me;Very characteristic of me;Somewhat characteristic of me;Very characteristic of me;Very characteristic of me;21;Male;No, everything worked fine!;;49;30;19;1;14533;507;496;23850;5f37e8722fd48928dcfb96a9;60f6936d13c3fd69181099a1;60f57e67967f64a9e6d4f193
20/07/2021 03:24;20/07/2021 03:25;Indirizzo IP;100;77;VERO;20/07/2021 03:25;R_1GTH2CVxDn0ImB6;anonymous;EN;Not at all characteristic of me;Not at all characteristic of me;Not at all characteristic of me;Very characteristic of me;A little characteristic of me;A little characteristic of me;Entirely characteristic of me;Very characteristic of me;A little characteristic of me;Somewhat characteristic of me;Not at all characteristic of me;Not at all characteristic of me;A little characteristic of me;22;Male;No, everything worked fine!;;24;14;10;1;14526;507;496;23843;5f3efd5c620e851cfb6968be;60f6904d7eb6896949f1c97a;60f57e67967f64a9e6d4f193
20/07/2021 05:06;20/07/2021 05:08;Indirizzo IP;100;106;VERO;20/07/2021 05:08;R_2uE3Z6X1lFpAXcC;anonymous;EN;A little characteristic of me;Somewhat characteristic of me;Not at all characteristic of me;Entirely characteristic of me;Not at all characteristic of me;A little characteristic of me;Entirely characteristic of me;Not at all characteristic of me;Somewhat characteristic of me;Very characteristic of me;A little characteristic of me;Entirely characteristic of me;Not at all characteristic of me;18;Male;No, everything worked fine!;;30;23;7;1;14676;507;496;23992;5f468185fdf3cf046a287a2d;60f6a6b62872df7d535b4a9d;60f57e67967f64a9e6d4f193
20/07/2021 05:12;20/07/2021 05:13;Indirizzo IP;100;69;VERO;20/07/2021 05:13;R_PTlDhnOar56ZouR;anonymous;EN;Somewhat characteristic of me;Very characteristic of me;Very characteristic of me;Somewhat characteristic of me;Not at all characteristic of me;Somewhat characteristic of me;Entirely characteristic of me;A little characteristic of me;Somewhat characteristic of me;A little characteristic of me;A little characteristic of me;A little characteristic of me;A little characteristic of me;19;Male;No, everything worked fine!;;31;18;13;1;14733;507;496;24048;5f4e13a9c6a7d0ae613da383;60f6a6ecc9b917fc4f4efb5e;60f57e67967f64a9e6d4f193
20/07/2021 03:56;20/07/2021 03:59;Indirizzo IP;100;169;VERO;20/07/2021 03:59;R_3KT2vz3PHjU5OUL;anonymous;EN;Very characteristic of me;Very characteristic of me;Very characteristic of me;Very characteristic of me;A little characteristic of me;A little characteristic of me;Entirely characteristic of me;Somewhat characteristic of me;Somewhat characteristic of me;A little characteristic of me;A little characteristic of me;Very characteristic of me;A little characteristic of me;43;Female;No, everything worked fine!;everything ok;36;23;13;1;14537;507;496;23854;5f5bcddf6352f037a52239f2;60f695585b0f2eff35c31936;60f57e67967f64a9e6d4f193
20/07/2021 05:44;20/07/2021 05:46;Indirizzo IP;100;99;VERO;20/07/2021 05:46;R_PzmXiFuO135ozXH;anonymous;EN;A little characteristic of me;Somewhat characteristic of me;Somewhat characteristic of me;Entirely characteristic of me;A little characteristic of me;Not at all characteristic of me;Entirely characteristic of me;A little characteristic of me;Very characteristic of me;A little characteristic of me;Not at all characteristic of me;Very characteristic of me;Very characteristic of me;20;Male;No, everything worked fine!;;33;22;11;1;14732;507;496;24047;5f5e2b126352f0691ad71e33;60f6a6f04a5bbad0f37ebd6b;60f57e67967f64a9e6d4f193
20/07/2021 04:26;20/07/2021 04:28;Indirizzo IP;100;142;VERO;20/07/2021 04:28;R_26mznTzt9BLkAjK;anonymous;EN;Somewhat characteristic of me;Very characteristic of me;Somewhat characteristic of me;Very characteristic of me;A little characteristic of me;Not at all characteristic of me;Entirely characteristic of me;A little characteristic of me;Very characteristic of me;A little characteristic of me;Not at all characteristic of me;Very characteristic of me;A little characteristic of me;41;Male;No, everything worked fine!;;32;23;9;1;14620;507;496;23937;5f625b3986ac2529e787517f;60f69bba512ea521e7d7aa52;60f57e67967f64a9e6d4f193
20/07/2021 05:01;20/07/2021 05:02;Indirizzo IP;100;45;VERO;20/07/2021 05:02;R_6zMkvzRKIW3r3lT;anonymous;EN;A little characteristic of me;Very characteristic of me;Somewhat characteristic of me;Very characteristic of me;Somewhat characteristic of me;Somewhat characteristic of me;Entirely characteristic of me;Very characteristic of me;Somewhat characteristic of me;A little characteristic of me;A little characteristic of me;Very characteristic of me;Somewhat characteristic of me;19;Male;No, everything worked fine!;;37;22;15;1;14672;507;496;23988;5f6cdf7bc061431080ba1040;60f6a6e1ef50ee09824aab86;60f57e67967f64a9e6d4f193
20/07/2021 04:24;20/07/2021 04:30;Indirizzo IP;100;387;VERO;20/07/2021 04:30;R_2zD99ZlbJXIrkAB;anonymous;EN;Very characteristic of me;Very characteristic of me;Somewhat characteristic of me;Somewhat characteristic of me;A little characteristic of me;A little characteristic of me;Entirely characteristic of me;A little characteristic of me;Very characteristic of me;A little characteristic of me;A little characteristic of me;Very characteristic of me;A little characteristic of me;39;Female;No, everything worked fine!;For me, the negative photos have revoked more negative emotions than sounds. ItÙãd be better to show participants how many % of the task they have done after each group of photos and colors shown.;34;23;11;1;14590;507;496;23907;5f6e43703c9b10356959ec6c;60f69cd9b422c4bea43abdba;60f57e67967f64a9e6d4f193
20/07/2021 05:10;20/07/2021 05:12;Indirizzo IP;100;106;VERO;20/07/2021 05:12;R_2OMGzqdv6WW2Bm3;anonymous;EN;Somewhat characteristic of me;Very characteristic of me;A little characteristic of me;A little characteristic of me;A little characteristic of me;Not at all characteristic of me;Entirely characteristic of me;Not at all characteristic of me;A little characteristic of me;Not at all characteristic of me;Not at all characteristic of me;Somewhat characteristic of me;A little characteristic of me;42;Male;Yes, in less than 25% of the trials;;24;17;7;1;14669;507;496;23985;5f6f611965c55c4d88995234;60f6a6deb0cef2b1b9120146;60f57e67967f64a9e6d4f193
19/07/2021 09:08;19/07/2021 09:09;Indirizzo IP;100;96;VERO;19/07/2021 09:09;R_2AG1S03WDm3FhXo;anonymous;EN;Very characteristic of me;Very characteristic of me;Very characteristic of me;Very characteristic of me;A little characteristic of me;A little characteristic of me;Entirely characteristic of me;Very characteristic of me;Very characteristic of me;A little characteristic of me;A little characteristic of me;A little characteristic of me;Very characteristic of me;20;Male;No, everything worked fine!;Thank you;38;22;16;1;14469;496;485;23768;5f7368d243984b07c2223568;60f58fd82f694312a338a93b;60e45f9daf7eec3fac4de4e2
20/07/2021 05:30;20/07/2021 05:33;Indirizzo IP;100;212;VERO;20/07/2021 05:33;R_2rxu5CrFBLNfehY;anonymous;EN;A little characteristic of me;Somewhat characteristic of me;A little characteristic of me;Very characteristic of me;Not at all characteristic of me;A little characteristic of me;Entirely characteristic of me;A little characteristic of me;Somewhat characteristic of me;A little characteristic of me;A little characteristic of me;Not at all characteristic of me;Not at all characteristic of me;23;Male;No, everything worked fine!;;25;16;9;1;14685;507;496;24001;5f7b2ba3700c320760772a8e;60f6a6c3474b14c59aa10c23;60f57e67967f64a9e6d4f193
20/07/2021 05:06;20/07/2021 05:07;Indirizzo IP;100;64;VERO;20/07/2021 05:07;R_2BkRsmAIZMjTJvj;anonymous;EN;Very characteristic of me;Entirely characteristic of me;Very characteristic of me;Entirely characteristic of me;Very characteristic of me;Very characteristic of me;Entirely characteristic of me;Very characteristic of me;Somewhat characteristic of me;Very characteristic of me;Somewhat characteristic of me;Very characteristic of me;A little characteristic of me;20;Female;No, everything worked fine!;have a nice day! :);46;29;17;1;14759;507;496;24066;5f830f1644cc14447b03305c;60f6a70e5765fcc7399cf501;60f57e67967f64a9e6d4f193
20/07/2021 04:31;20/07/2021 04:32;Indirizzo IP;100;87;VERO;20/07/2021 04:32;R_AoLBe5cTJ5ch2gN;anonymous;EN;Very characteristic of me;Entirely characteristic of me;Somewhat characteristic of me;Very characteristic of me;A little characteristic of me;Very characteristic of me;Entirely characteristic of me;Very characteristic of me;Entirely characteristic of me;Somewhat characteristic of me;Entirely characteristic of me;A little characteristic of me;Somewhat characteristic of me;24;Female;No, everything worked fine!;;44;25;19;1;14621;507;496;23938;5f92e67c3cc3b10407327c19;60f69dae8913075c13b111c8;60f57e67967f64a9e6d4f193
20/07/2021 05:12;20/07/2021 05:13;Indirizzo IP;100;66;VERO;20/07/2021 05:13;R_1mQKV0cNiaVJj8v;anonymous;EN;Very characteristic of me;Very characteristic of me;Somewhat characteristic of me;Very characteristic of me;Somewhat characteristic of me;Somewhat characteristic of me;Entirely characteristic of me;Somewhat characteristic of me;A little characteristic of me;Very characteristic of me;Entirely characteristic of me;Very characteristic of me;Somewhat characteristic of me;19;Male;No, everything worked fine!;;42;25;17;1;14779;507;496;24086;5f932ac4ef581b0d9d1605b3;60f6a99a9ff997b47d8b0429;60f57e67967f64a9e6d4f193
20/07/2021 05:25;20/07/2021 05:27;Indirizzo IP;100;166;VERO;20/07/2021 05:27;R_e38Q2YPW2xpgbo5;anonymous;EN;Somewhat characteristic of me;Very characteristic of me;A little characteristic of me;Very characteristic of me;Somewhat characteristic of me;A little characteristic of me;Entirely characteristic of me;A little characteristic of me;Somewhat characteristic of me;Very characteristic of me;A little characteristic of me;A little characteristic of me;A little characteristic of me;35;Female;No, everything worked fine!;;33;23;10;1;14771;507;496;24078;5f9aa9519663011dd91fb37b;60f6a838f2e71e101f81abe5;60f57e67967f64a9e6d4f193
19/07/2021 09:05;19/07/2021 09:06;Indirizzo IP;100;90;VERO;19/07/2021 09:06;R_bvaBWxovOIjyChr;anonymous;EN;Very characteristic of me;Very characteristic of me;Somewhat characteristic of me;Somewhat characteristic of me;Somewhat characteristic of me;Somewhat characteristic of me;Very characteristic of me;A little characteristic of me;Very characteristic of me;Somewhat characteristic of me;A little characteristic of me;Not at all characteristic of me;A little characteristic of me;26;Female;No, everything worked fine!;;NA;NA;NA;0;14464;496;485;23764;5fa3210b4af86b5dd1b57153;60f58e6104608db07b2f5bf8;60e45f9daf7eec3fac4de4e2
20/07/2021 04:59;20/07/2021 05:00;Indirizzo IP;100;69;VERO;20/07/2021 05:00;R_10NRtW3Rypf1SPo;anonymous;EN;Very characteristic of me;Very characteristic of me;Somewhat characteristic of me;Very characteristic of me;Somewhat characteristic of me;Very characteristic of me;Entirely characteristic of me;Entirely characteristic of me;Very characteristic of me;Very characteristic of me;Very characteristic of me;Somewhat characteristic of me;Somewhat characteristic of me;25;Male;No, everything worked fine!;Thank you very much. It was very interesting!;45;26;19;1;14696;507;496;24012;5fa5b2f859cd8711ad096b6d;60f6a6f346a7b13a91db586f;60f57e67967f64a9e6d4f193
20/07/2021 05:08;20/07/2021 05:09;Indirizzo IP;100;46;VERO;20/07/2021 05:09;R_2thxSeCkqomp55z;anonymous;EN;Very characteristic of me;Very characteristic of me;Very characteristic of me;A little characteristic of me;Somewhat characteristic of me;Somewhat characteristic of me;Entirely characteristic of me;A little characteristic of me;Very characteristic of me;Somewhat characteristic of me;A little characteristic of me;Very characteristic of me;Somewhat characteristic of me;22;Male;No, everything worked fine!;;38;24;14;1;14773;507;496;24080;5fa6bd5087c4d53285fd8a53;60f6a88f1071c9e9270fb8a2;60f57e67967f64a9e6d4f193
20/07/2021 05:00;20/07/2021 05:02;Indirizzo IP;100;130;VERO;20/07/2021 05:02;R_1N3b0r1437httbl;anonymous;EN;Somewhat characteristic of me;Very characteristic of me;Very characteristic of me;Very characteristic of me;Very characteristic of me;Very characteristic of me;Entirely characteristic of me;Very characteristic of me;Somewhat characteristic of me;Very characteristic of me;Very characteristic of me;Very characteristic of me;Somewhat characteristic of me;23;Female;No, everything worked fine!;;45;26;19;1;14657;507;496;23973;5fad9cb5460126158bf715f8;60f6a6d4690d49a685d2d5c5;60f57e67967f64a9e6d4f193
20/07/2021 05:04;20/07/2021 05:05;Indirizzo IP;100;87;VERO;20/07/2021 05:05;R_3CAQgYd8nQZDZCi;anonymous;EN;Very characteristic of me;Entirely characteristic of me;Entirely characteristic of me;Somewhat characteristic of me;Very characteristic of me;Somewhat characteristic of me;Entirely characteristic of me;Somewhat characteristic of me;Somewhat characteristic of me;Very characteristic of me;A little characteristic of me;Entirely characteristic of me;Very characteristic of me;21;Male;No, everything worked fine!;Everything went well, have a nice day!;45;28;17;1;14755;507;496;24063;5fade2a3b7a899209e1265d8;60f6a7c5731a35a8e497c47d;60f57e67967f64a9e6d4f193
20/07/2021 05:02;20/07/2021 05:14;Indirizzo IP;100;696;VERO;20/07/2021 05:14;R_3M0xQOrF5cuIPy8;anonymous;EN;Somewhat characteristic of me;Entirely characteristic of me;Entirely characteristic of me;Entirely characteristic of me;Entirely characteristic of me;Very characteristic of me;Entirely characteristic of me;Very characteristic of me;Somewhat characteristic of me;Somewhat characteristic of me;Somewhat characteristic of me;Very characteristic of me;Very characteristic of me;18;Female;No, everything worked fine!;;48;28;20;1;14656;507;496;23972;5fb1342e08e942585248e2fc;60f6a6d4f9be19a6a52e6ed5;60f57e67967f64a9e6d4f193
20/07/2021 05:00;20/07/2021 05:02;Indirizzo IP;100;82;VERO;20/07/2021 05:02;R_3pmpuoShhoQy5qt;anonymous;EN;A little characteristic of me;A little characteristic of me;A little characteristic of me;Somewhat characteristic of me;Somewhat characteristic of me;A little characteristic of me;Entirely characteristic of me;A little characteristic of me;A little characteristic of me;A little characteristic of me;Somewhat characteristic of me;Very characteristic of me;Somewhat characteristic of me;30;Male;No, everything worked fine!;Thanks;30;18;12;1;14635;507;496;23951;5fb158cc38ecb85d030d937d;60f6a6b8554f91de394dec06;60f57e67967f64a9e6d4f193
20/07/2021 03:46;20/07/2021 03:48;Indirizzo IP;100;116;VERO;20/07/2021 03:48;R_3fdBM9a6pHtvatI;anonymous;EN;Very characteristic of me;Somewhat characteristic of me;A little characteristic of me;Not at all characteristic of me;A little characteristic of me;A little characteristic of me;Entirely characteristic of me;Not at all characteristic of me;Not at all characteristic of me;Not at all characteristic of me;A little characteristic of me;A little characteristic of me;Somewhat characteristic of me;19;Female;No, everything worked fine!;;24;14;10;1;14536;507;496;23853;5fb5393217dfb80009621b89;60f693d9aafd20f4d08a390e;60f57e67967f64a9e6d4f193
20/07/2021 04:59;20/07/2021 05:01;Indirizzo IP;100;88;VERO;20/07/2021 05:01;R_2RWCRrF4do9bdVI;anonymous;EN;A little characteristic of me;Very characteristic of me;A little characteristic of me;Very characteristic of me;A little characteristic of me;A little characteristic of me;Entirely characteristic of me;A little characteristic of me;Very characteristic of me;A little characteristic of me;Not at all characteristic of me;Very characteristic of me;Very characteristic of me;21;Male;No, everything worked fine!;;33;22;11;1;14700;507;496;24016;5fb7cfde7808523cea8ee891;60f6a6f85b256c48c7b7ebdf;60f57e67967f64a9e6d4f193
20/07/2021 05:06;20/07/2021 05:09;Indirizzo IP;100;195;VERO;20/07/2021 05:09;R_1NmomaolZBnD7Kv;anonymous;EN;Very characteristic of me;Entirely characteristic of me;Somewhat characteristic of me;Very characteristic of me;Very characteristic of me;A little characteristic of me;Entirely characteristic of me;Somewhat characteristic of me;A little characteristic of me;Entirely characteristic of me;Very characteristic of me;Very characteristic of me;Not at all characteristic of me;23;Male;No, everything worked fine!;;41;28;13;1;14679;507;496;23995;5fbd2977679a7e08dbf5aec1;60f6a6e522a009b77e8fd5c1;60f57e67967f64a9e6d4f193
20/07/2021 04:12;20/07/2021 04:14;Indirizzo IP;100;106;VERO;20/07/2021 04:14;R_12th7SUELEtV0hj;anonymous;EN;Somewhat characteristic of me;Somewhat characteristic of me;Somewhat characteristic of me;Somewhat characteristic of me;Somewhat characteristic of me;A little characteristic of me;Entirely characteristic of me;Somewhat characteristic of me;A little characteristic of me;A little characteristic of me;A little characteristic of me;A little characteristic of me;Somewhat characteristic of me;24;Female;No, everything worked fine!;;31;18;13;1;14571;507;496;23888;5fbea04315b8cb0597ec2109;60f69ba67119a48505e196f7;60f57e67967f64a9e6d4f193
20/07/2021 04:40;20/07/2021 04:49;Indirizzo IP;100;543;VERO;20/07/2021 04:49;R_3ptM4GZPjsjP1io;anonymous;EN;Somewhat characteristic of me;Somewhat characteristic of me;Very characteristic of me;Very characteristic of me;Very characteristic of me;Very characteristic of me;Entirely characteristic of me;Very characteristic of me;Very characteristic of me;Entirely characteristic of me;Somewhat characteristic of me;Somewhat characteristic of me;Very characteristic of me;28;Female;Yes, in less than 25% of the trials;;45;26;19;1;14573;507;496;23890;5fd8e0003de8900cac067594;60f69bd33d6389cb451dbad7;60f57e67967f64a9e6d4f193
20/07/2021 05:13;20/07/2021 05:14;Indirizzo IP;100;112;VERO;20/07/2021 05:14;R_cMkTZaKLzRyqjC1;anonymous;EN;Entirely characteristic of me;Entirely characteristic of me;Somewhat characteristic of me;Very characteristic of me;Very characteristic of me;Somewhat characteristic of me;Entirely characteristic of me;Very characteristic of me;Entirely characteristic of me;Very characteristic of me;Somewhat characteristic of me;Entirely characteristic of me;Somewhat characteristic of me;23;Female;No, everything worked fine!;;48;32;16;1;14666;507;496;23982;5fe0c1e530cadf240a9fbeb8;60f6a6d805e4f6cfd33ceea5;60f57e67967f64a9e6d4f193
20/07/2021 05:01;20/07/2021 05:04;Indirizzo IP;100;150;VERO;20/07/2021 05:04;R_1KjVswRb64XZTPE;anonymous;EN;Somewhat characteristic of me;Very characteristic of me;A little characteristic of me;Very characteristic of me;Somewhat characteristic of me;Somewhat characteristic of me;Entirely characteristic of me;Somewhat characteristic of me;Somewhat characteristic of me;A little characteristic of me;Somewhat characteristic of me;Somewhat characteristic of me;Somewhat characteristic of me;49;Female;No, everything worked fine!;;36;22;14;1;14637;507;496;23953;5fe397905474cd069a8c357d;60f6a6b822a009b77e8fd5b8;60f57e67967f64a9e6d4f193
20/07/2021 03:45;20/07/2021 03:47;Indirizzo IP;100;70;VERO;20/07/2021 03:47;R_bpyBRD4EY7oqUIp;anonymous;EN;Very characteristic of me;Very characteristic of me;Somewhat characteristic of me;A little characteristic of me;Very characteristic of me;A little characteristic of me;Entirely characteristic of me;A little characteristic of me;Somewhat characteristic of me;Somewhat characteristic of me;Somewhat characteristic of me;A little characteristic of me;A little characteristic of me;21;Female;No, everything worked fine!;;34;22;12;1;14535;507;496;23852;5ff82cba08876e571a0e3038;60f6947a5ef0d2b53004dc6b;60f57e67967f64a9e6d4f193
20/07/2021 04:24;20/07/2021 04:29;Indirizzo IP;100;282;VERO;20/07/2021 04:29;R_2PoMlTCLQ26mLXb;anonymous;EN;Very characteristic of me;Entirely characteristic of me;Entirely characteristic of me;Somewhat characteristic of me;Very characteristic of me;A little characteristic of me;Entirely characteristic of me;A little characteristic of me;A little characteristic of me;A little characteristic of me;A little characteristic of me;Somewhat characteristic of me;Somewhat characteristic of me;26;Female;No, everything worked fine!;i have misofonia so take that into account when evaluating my answers regarding sounds of people's activities. ;37;23;14;1;14619;507;496;23936;6000142696d3bf1af8b74849;60f69decc74f8977d24e4f59;60f57e67967f64a9e6d4f193
19/07/2021 08:59;19/07/2021 09:00;Indirizzo IP;100;88;VERO;19/07/2021 09:00;R_3rM9LnDSR6JlJFa;anonymous;EN;Somewhat characteristic of me;Somewhat characteristic of me;A little characteristic of me;A little characteristic of me;A little characteristic of me;Somewhat characteristic of me;Entirely characteristic of me;Somewhat characteristic of me;Very characteristic of me;Very characteristic of me;Somewhat characteristic of me;Very characteristic of me;Very characteristic of me;23;Male;No, everything worked fine!;6001ddf439a36315f6a3b702;37;22;15;1;14461;496;485;23762;6001ddf439a36315f6a3b702;60f58c875b1f041a4267f476;60e45f9daf7eec3fac4de4e2
20/07/2021 05:04;20/07/2021 05:07;Indirizzo IP;100;145;VERO;20/07/2021 05:07;R_2TB6eai7n2yXpDt;anonymous;EN;Somewhat characteristic of me;Very characteristic of me;Somewhat characteristic of me;Somewhat characteristic of me;Very characteristic of me;A little characteristic of me;Entirely characteristic of me;Somewhat characteristic of me;Very characteristic of me;A little characteristic of me;A little characteristic of me;Very characteristic of me;A little characteristic of me;24;Female;No, everything worked fine!;;36;24;12;1;14660;507;496;23975;6005d880f436527f1bb4c03a;60f6a6ccdfd9b14d1a984e12;60f57e67967f64a9e6d4f193
20/07/2021 05:03;20/07/2021 05:04;Indirizzo IP;100;70;VERO;20/07/2021 05:04;R_3JwxVG6C9CCU2ka;anonymous;EN;Somewhat characteristic of me;A little characteristic of me;Very characteristic of me;A little characteristic of me;Very characteristic of me;A little characteristic of me;Entirely characteristic of me;A little characteristic of me;Somewhat characteristic of me;Not at all characteristic of me;Very characteristic of me;A little characteristic of me;Entirely characteristic of me;19;Male;No, everything worked fine!;very interesting study;34;17;17;1;14653;507;496;23969;6009ded729d8400a50dd70e0;60f6a6d1ccb495b297ade9ab;60f57e67967f64a9e6d4f193
